,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"lag_coefs[-2, japan_gdp, usdyuan]",-0.01,0.099,-0.197,0.171,0.001,0.003,4894.0,1438.0,1.0
"lag_coefs[-2, japan_gdp, wui]",0.009,0.024,-0.039,0.05,0.0,0.001,3213.0,1094.0,1.0
"lag_coefs[-2, japan_gdp, china_gdp]",-0.011,0.067,-0.137,0.115,0.001,0.001,2970.0,1848.0,1.0
"lag_coefs[-2, japan_gdp, india_gdp]",0.002,0.089,-0.164,0.168,0.001,0.002,4721.0,1640.0,1.0
"lag_coefs[-2, japan_gdp, japan_gdp]",-0.015,0.091,-0.193,0.145,0.001,0.002,4282.0,1408.0,1.0
"lag_coefs[-3, World_oil_prod, World_oil_prod]",0.055,0.085,-0.109,0.207,0.001,0.002,4116.0,1287.0,1.0
"lag_coefs[-3, World_oil_prod, Real_price_oil]",-0.006,0.016,-0.033,0.026,0.0,0.0,2690.0,1441.0,1.0
"lag_coefs[-3, World_oil_prod, glob_eco_act]",0.003,0.088,-0.166,0.16,0.001,0.002,4073.0,1627.0,1.0
"lag_coefs[-3, World_oil_prod, usdinr]",0.003,0.071,-0.125,0.142,0.001,0.001,3355.0,1613.0,1.0
"lag_coefs[-3, World_oil_prod, usdyen]",-0.028,0.075,-0.172,0.111,0.001,0.002,3537.0,1338.0,1.0
"lag_coefs[-3, World_oil_prod, usdyuan]",0.015,0.093,-0.171,0.186,0.002,0.002,3363.0,1581.0,1.0
